Frequency_Hz,Ch_1,Ch_2,Ch_3,Ch_4,Ch_5,Ch_6,Ch_7,Ch_8,Ch_9,Ch_10,Ch_11,Ch_12,Ch_13,Ch_14,Ch_15,Ch_16,Ch_17,Ch_18,Ch_19,Ch_20,Ch_21,Ch_22,Ch_23,Ch_24,Ch_25,Ch_26,Ch_27,Ch_28,Ch_29,Ch_30,Ch_31,Ch_32,Ch_33,Ch_34,Ch_35,Ch_36,Ch_37,Ch_38,Ch_39,Ch_40,Ch_41,Ch_42,Ch_43,Ch_44,Ch_45,Ch_46,Ch_47,Ch_48,Ch_49,Ch_50,Ch_51,Ch_52,Ch_53,Ch_54,Ch_55,Ch_56,Ch_57,Ch_58,Ch_59,Ch_60,Ch_61,Ch_62,Ch_63,Ch_64,Ch_65
0,0.0413814254740829,0.0133834994901924,0.0112363817865106,0.0144106478908008,0.0116002828269527,0.0170803010964785,0.024728168816298,0.0255733222452492,0.000166525727270019,0.000227133930012705,0.0370606635952633,0.0378093519043102,0.00248757232000847,0.0047703803086073,0.00663566328833673,0.00204139512612374,0.0224685232497618,0.0481849325322099,0.0311346240702705,0.0453038612443726,0.00884410332919647,0.00201195014633745,0.0387612875244304,0.0357858943852141,0.00626027210702816,0.0165231774940039,0.00822724045020767,0.00422525172404552,0.0203095060144136,0.0327687955466672,0.0001030695315163,4.75354403670983e-06,0.00286022286220663,0.00224480004135143,0.0307321981396578,0.0196269350309044,0.0568504060660537,0.0280773586041704,0.0292355411233907,0.0147127065724397,2.21678879278137e-05,0.00489355068680796,0.0260169660451047,0.0231745087978033,0.0218400971799211,0.0102604616796539,0.0235611006644542,0.022678880622558,3.48326823847328e-08,0.00407882528573447,0.0131666606481696,0.00993496642443543,0.046156324959369,0.0333669299176866,0.0132528192309569,0.019213287190679,0.000542299888006747,0.00487361674741177,9.89108467739137e-05,0.00040909836870399,0.0002137042649742,0.000921915555557588,0.0390783624515564,0.0121294662420252,0.00342018143858084
0.25,0.176735752020256,0.0580030256444753,0.0490839531228111,0.0627863747927608,0.0499270244594672,0.0736707521175097,0.104325086988411,0.111932106573556,0.000805791611265943,0.00132552251115495,0.160216929875983,0.164235010296127,0.011388067924281,0.0223832403851949,0.0280533053902055,0.0110302598389066,0.094888210402944,0.204887093768618,0.132096445916486,0.195411256775897,0.0382604925043903,0.00916213229935831,0.163649034194838,0.155270897432957,0.0285503539742384,0.0720452252404345,0.0351567832086746,0.0197694180186562,0.088217129478563,0.142072916632933,0.000611948885327198,0.00119554699381452,0.0142615761214134,0.00920756733515348,0.129855815542047,0.0842754602232867,0.240570443141409,0.121114349509308,0.124948666447419,0.0640500102329688,0.00119359869642955,0.0218580189919261,0.110421282473984,0.101214759572903,0.0939569063835779,0.0457440040390314,0.102686584360209,0.100192457512293,0.000356540029883455,0.0201817053921917,0.0559969443101634,0.044629253213984,0.201183434080331,0.14516187179838,0.0585433034624746,0.0838328610058582,0.00237297746157992,0.0214432540314674,0.000582216840990837,0.00275895674047069,0.00138736757489081,0.00418619121034744,0.167926935737805,0.0531571735000353,0.0148627559014862
0.5,0.223607325238161,0.0784456618423042,0.0653713031375359,0.0787218349262371,0.0655695268552648,0.0998711167821338,0.131879056837048,0.156048359024788,0.00196416622699897,0.00400829891408137,0.211509447172488,0.218182167275661,0.0201655462949726,0.0416570425495803,0.0350701669810548,0.0250607246392168,0.11407201747276,0.271083777626232,0.170801081048796,0.263381307231829,0.0502473128749612,0.0167893840444252,0.200460186271726,0.20751736503923,0.0442621303920025,0.0977353617181072,0.0455627650014888,0.0325873380123105,0.127621253770437,0.199920042342211,0.000923573280522642,0.0091077014385445,0.028901539814586,0.00953429287812187,0.162098046413847,0.107740766453532,0.307331943253294,0.161447046426362,0.15215018496559,0.0821164616930142,0.00653349182282365,0.032579025421244,0.137008798972003,0.137654833262475,0.12721792378047,0.0664312599405987,0.139416231783249,0.135310230365587,0.0014260679825206,0.0384395375196068,0.0715948906875105,0.0659694954367966,0.267161541640768,0.181647791467359,0.0823762557464758,0.115824023265595,0.00391974588187028,0.0379480049676502,0.00274513579472971,0.0083735032518855,0.00362193521519083,0.00931142194415875,0.227192168110172,0.0748954563964301,0.0208014465660354
0.75,0.321522119662373,0.194749283607016,0.0524242755143564,0.211877166540465,0.140254594106108,0.07129682952503,0.216667072146523,0.257258342204318,0.00345349914894847,0.0261893228056836,0.311654899964828,0.432382475524825,0.0706196218435028,0.0689893240227086,0.117594206984589,0.0270500584843571,0.105785880624076,0.330052824547778,0.522960551657586,0.588739636477909,0.139811253581683,0.121471014091059,0.418036622459636,0.387186060697402,0.0730377202821868,0.194923177840266,0.101693284903327,0.0312359462743372,0.347931951760033,0.397202493000189,0.0129946084154013,0.00369254639273579,0.00877839823816626,0.0176872307830471,0.367246901096308,0.210143580087408,0.601914395276892,0.283911738109489,0.180116582734166,0.257054370109357,0.00361261274060398,0.125077353337909,0.298684077745794,0.220154015295343,0.225357635304324,0.0933806003029211,0.177439628179086,0.345324805458268,0.00545379847477459,0.0379622918836598,0.233797714570129,0.0790635342506449,0.42583137640444,0.44859848396932,0.152922635550475,0.173441270226584,0.0183430376685584,0.165464841241359,0.0296984485558389,0.0171659983632641,0.0177119835986328,0.0599623796129591,0.644855756385707,0.13815474037261,0.0832156478793259
1,0.983868014626883,1.11152762150992,0.862763261040513,0.366046193640735,0.0518282789350518,0.552018916590326,0.131390795023804,0.0432384900845936,0.389904659832498,0.385851118093756,1.42215090510405,1.08768052562113,0.118842600962203,2.925873628321,0.320286574934457,0.207347675545288,0.144940036538265,1.93054545219322,1.33573584933662,0.689638005514487,0.151952035763291,0.567752055178623,0.799169070193091,0.632952619731661,0.214156948986576,2.47140507549245,0.140733535376418,0.819408866236528,0.740131886526204,2.10162128432026,0.0577614505784418,1.62659495048803,0.0663589695180256,0.0450319602623562,0.436318641917246,0.263121948411359,0.151692229446784,0.436568710788762,0.663401426444662,0.204497064923061,0.48817896789697,0.763821892260381,0.23228832930346,0.197614827176233,0.228558475230593,0.775635972760643,1.7381429009939,0.571344570927956,0.0694577867484869,2.16599169979138,0.222671942204261,0.0111988499355368,1.65998925270455,1.32917927525677,0.437895162745918,2.72656728482464,0.00208314482560896,1.50640800984047,1.23924248645176,0.208475137922424,0.00813240146470108,0.192358715815334,2.01858954568758,1.1632512464951,1.18492030601914
1.25,2.15506190031301,0.208260504840748,1.68161208041777,0.195999364903966,0.0801177507699206,0.958297982891196,0.0388281820095815,1.82170980527604,0.373345575801576,0.646904978063349,1.65455141874918,2.14293933381201,0.374677268204719,0.913539023704697,0.308073456682815,1.7071675592743,2.13055464095158,4.73242913462964,1.35426893331313,1.10620681337648,0.512324573878937,0.288769978103153,0.872139265536399,1.02988571936529,0.538982793258246,0.494018774416771,0.219156498029392,1.45100193406786,2.0430818835232,2.16904386208678,0.244758286448158,0.982584243955954,1.94216316897392,3.08979856205166,0.781363217972718,0.350024529821396,0.578461781765607,1.19994528841454,1.53878902421396,0.243978130316503,0.251901900099144,0.270169243348707,0.501273538409319,1.01195769351445,0.0425809294737432,2.2091615351947,0.530319390096654,0.702121234050979,0.124648243839304,0.49908905492476,0.0858052570801914,2.24579005209455,1.56647892062003,1.61285451606105,1.70091234929078,3.29795752832154,1.00527453318568,1.06139957805023,1.49917516618557,1.98772137835461,0.957614844422978,0.365991420050613,2.49484681718168,0.567988614609657,1.07859364563287
1.5,3.19950171578416,1.7572342089514,1.89083216299298,0.65306061554007,0.151408405462287,0.530798582480424,0.498317101094683,1.94715361289234,0.49558937247256,1.26520751891395,2.24284174511641,0.485965973585856,0.844734188667976,1.2192113047151,0.257911325200319,1.72742438830229,3.86650786636298,6.56218166655575,2.16023168529647,2.31519931974672,1.06512732465859,2.74013700923427,1.61829092285484,2.83164686782525,0.697696633412947,0.182351568503417,0.0476174760703325,0.571223028489573,0.846209296417877,0.655613067871857,0.571645677806271,2.32987985385541,3.17099255249963,2.12770425203436,1.43609772012139,2.40635548049181,2.92105016949122,3.5273564116315,3.46818777300338,0.874194568882549,0.366329859353294,0.626962105194646,0.225562460753992,1.38167476278353,0.49707458664615,3.64499152407448,1.92555640368079,0.100079449248581,0.572142790577663,0.507560689043516,0.0287350112336632,0.891611692894391,2.56552814258468,1.41309469227014,0.794943575326988,0.152505391152614,0.205205379464748,1.65267178145957,0.185285121280988,0.187988281395747,0.501407480142757,1.31080712764466,1.64813203628881,2.47116582758612,1.14743054446035
1.75,4.72983609978048,11.466272775718,0.479645018237801,4.13875123353656,0.311612594813509,2.06444697595403,2.41239898194315,3.31667038886065,2.3966710238937,2.33132011664237,4.34730795674048,7.89951806013567,0.0250630288912425,1.58930348248589,2.20163687837423,1.83651652210895,6.41568653879566,2.65182637119821,1.1310232475847,2.41762947278994,0.0777489672760931,0.690151736807357,1.47278245610046,2.12002148371482,0.175915769832775,2.32683071907291,1.16599329038135,1.97448607279187,1.1183666573402,2.68641831622669,0.610310904982282,0.661712140123001,0.773929653915709,2.86279737813128,0.572161712871737,1.91627318550655,3.06247673399952,3.18581841679552,4.08774803356391,9.36371203793733,0.0296714676286673,1.32827884379827,0.757901974374782,1.25892708813973,3.59320611700045,5.64324297933509,1.56713765282341,7.21742129335282,0.148016935590191,0.91532126644913,2.59833454275428,3.01865767364658,3.39774330657746,10.2618282921849,0.822413803413894,2.3308121194416,0.320545697233904,0.136729098774825,2.80238453775365,2.80218100449068,0.276669068387448,0.371578585990484,1.53432016876905,4.75461449191855,0.626528221580967
2,1.16047774254281,0.971100594694944,0.14854283505264,0.539519222340325,0.0314861922532694,0.333216380361257,0.398074244686986,0.637267924219371,1.25348546769516,2.00130623268099,1.99398049179976,2.51611096302286,0.460552323884467,0.317634115496465,0.118959236063398,1.23710898271135,0.284420175582973,1.73885537286272,0.931781609557713,1.60899193228867,0.291862537617138,0.519877454460058,0.448605459419771,1.01367951186264,0.425288528620433,0.931413046459658,0.221662213728229,0.0104668750305577,1.21370789540888,0.682968574607318,0.264530798430466,0.17424523362941,0.218567154045004,0.127638998909918,0.223391035276781,1.2343023827613,0.603599801678878,1.26047280795411,0.26460116457264,0.291766517486688,0.120365925482968,0.881450538349518,0.269874921335607,0.307175787495492,0.744447307003539,1.34940496162193,0.620007532033504,2.34941359427956,0.226886731937698,0.27843352200305,0.00757434010360912,0.588588077000858,1.46069272596719,3.84149092871672,1.55378707460911,0.963812705535304,0.746209067281686,0.72907056181312,0.565911491660216,1.61053498318742,0.982030751126424,1.45052694393235,1.33381960134674,0.958544587322533,0.756188967847124
2.25,1.02789712093825,3.70056609884443,0.522887710318165,0.31047723380338,0.326444746599608,0.0153343534951322,0.533667308725066,1.32002433289578,0.585745375970521,1.69936435386772,2.91018698718231,3.25383523264172,0.667602933856006,0.340650828952968,0.227587976378748,3.04770587465196,0.737060785392045,2.45764337038759,1.57241969778135,0.728575318812942,2.43653419553801,2.95598224601495,0.605622087772177,0.944286662374226,0.49887900022651,0.380876236859383,0.0182196796009789,0.343641668426824,2.4658997168642,1.88662515200111,0.399713799260531,1.1579898725755,2.33185989739652,1.03567263879453,0.694490714164699,0.674886060155777,0.453467485249038,1.30419434913993,0.51537994970852,1.02638433922323,0.66032144867864,0.201915672389488,0.213766618817652,0.675749790503664,0.653299441239747,1.69356812387297,0.588356413810993,2.70123388913814,0.223739113106425,0.0463897291331713,0.302737912522932,1.87806904023889,1.4652558377946,5.24642119027337,1.79129224878321,0.253825779029978,1.24514790956142,2.8660699224513,0.0701195582930475,2.38598285460167,1.3435250134077,2.76813816977087,0.849266493147802,1.93018113080949,3.16217272100346
2.5,0.538354198194903,2.19032714819034,3.31719257406526,3.91370755131946,0.13154187589371,3.45144943472831,0.235828136433582,1.1135095229213,0.831202372781939,0.586694820335707,2.80329058565308,1.35451944822627,2.37989118413831,1.08766298783177,2.78724237342446,2.16138992902974,2.79056397315219,4.02295352980166,4.36595813109473,0.827406701195819,3.67637255415113,3.1367304769343,1.45938242299842,2.50839013491972,1.21917800511495,0.0108414870834076,0.486069674041882,1.08908744287967,3.06670161189979,1.9471975126646,2.64065856779363,1.86200447351489,4.66426788384511,6.02994764229329,1.9203372200824,3.31008846383835,0.962706519292857,0.965993912691885,1.61669568162974,1.58615232509826,1.02866421106026,1.97070787726642,0.248030712690064,1.41177175403533,0.420509798752378,0.0858473996081017,1.70787624493517,1.50209393619811,0.729535857390513,0.96611793830408,0.560166558332801,1.02738831654746,1.38250954820106,1.64353389890983,2.34286784241017,0.377260125860728,4.8553658910219,2.2357292700934,1.46496969200846,1.62986029173418,3.01601859262039,2.25384269030866,2.31477368367169,0.246686150902425,4.59717843203908
2.75,2.07885669989123,0.853671631726368,3.35521322860363,1.97938657635834,0.497665684217361,0.0339871465772604,1.74791618319278,0.806934606978901,2.11464831039495,1.17822847297981,0.153172081956703,0.810639307368782,0.0178728517866816,0.830758563968949,3.6220603987529,0.986999742883616,5.16377788441793,7.64802984469875,0.207775260301279,0.625255862562029,3.83791867098613,0.968874953148416,0.321514658882782,0.39381656471496,0.333853401512278,0.284233963667712,0.790402549236268,0.542772992206644,0.461473101745343,0.668868544676243,1.43373786753846,0.808581408400663,8.56537232062202,4.67389857454136,0.649176719723695,0.0462244889753779,1.08929586982849,0.421973257636204,4.41183931615283,2.14519111595001,2.02842142706002,0.680910794600089,0.590879298351938,0.214296549341755,2.41768946105069,1.61397270486223,1.10449037574358,1.35605096581775,0.168991723080462,0.373182091412723,2.25248886416784,0.826956796205836,1.09351496863016,0.6294550289752,0.121118994018184,1.16434361033898,2.17482298836935,0.611807850560972,2.77203831066568,1.18027525907545,2.57169383105514,1.00279424774801,0.261064820057863,1.57618594369319,4.3042036217169
3,0.297857509892147,0.402769127498661,0.55814923785989,1.08287507805017,0.832854184698633,0.286284107582775,0.214427908876695,0.138754316329475,0.703190932928317,0.697652431786167,1.24706099330476,2.88544530248451,0.244831687479913,3.13332486883112,1.03817403225027,0.379241578279244,1.51579174034951,3.93270082583398,3.53653467510803,0.228897071918144,4.74596674471581,3.33920568416026,1.26286468118133,0.553693753726009,0.0797001711117273,1.32012270735029,0.29151366511661,0.231442646038753,1.83694298991108,4.72490709729142,0.507211860725294,1.80066220834096,3.33977823573945,3.85030315190051,2.09683996749567,1.86813932316217,0.0648124770093436,0.150710707136141,0.886149988738436,0.36071854776304,0.793180307753001,0.720807250432734,0.418838048659655,0.0229450349712679,0.333587893313207,0.493088203625722,0.0866243711612358,0.53139213136695,0.0485059932881074,0.570419548573993,0.313466559857535,0.195660121587843,0.641983287508934,1.55676563695894,0.735900742808388,3.04780887298483,1.78530080057467,2.58910683515934,0.706926928326741,0.45282823428523,2.62961275469287,1.4458220323741,0.947876954620201,0.0969640449467603,7.11709340922857
