Frequency_Hz,Ch_1,Ch_2,Ch_3,Ch_4,Ch_5,Ch_6,Ch_7,Ch_8,Ch_9,Ch_10,Ch_11,Ch_12,Ch_13,Ch_14,Ch_15,Ch_16,Ch_17,Ch_18,Ch_19,Ch_20,Ch_21,Ch_22,Ch_23,Ch_24,Ch_25,Ch_26,Ch_27,Ch_28,Ch_29,Ch_30,Ch_31,Ch_32,Ch_33,Ch_34,Ch_35,Ch_36,Ch_37,Ch_38,Ch_39,Ch_40,Ch_41,Ch_42,Ch_43,Ch_44,Ch_45,Ch_46,Ch_47,Ch_48,Ch_49,Ch_50,Ch_51,Ch_52,Ch_53,Ch_54,Ch_55,Ch_56,Ch_57,Ch_58,Ch_59,Ch_60,Ch_61,Ch_62,Ch_63,Ch_64,Ch_65
0,0.00231865232307009,0.000246817613337381,0.000105693094109641,8.13749960164917e-05,0.000569878121362765,0.00672986139256629,0.0182968670088028,0.00177801491676832,0.0155101392155607,1.76251382469723e-05,0.000470852223764055,8.78165597957064e-05,2.7234147815471e-05,0.00147756182855372,0.011010886152176,0.0080706066978384,0.000959409820315438,0.000157758045161506,0.00543135202065473,0.00293639131015688,0.00244655043724286,0.00330503289100714,1.02722730939974e-05,0.00517113734944936,7.0680817461327e-05,0.000372072429245386,0.00163710904265225,0.00325550826737717,2.55895383893785e-05,0.00135040973538341,0.00109671922603033,0.00512499522425439,7.99120180205466e-05,0.00525981283992992,0.000533890394171044,0.00993878420504674,0.00390846516318369,0.000230066764651414,6.70380411509962e-05,9.54024367649327e-05,0.00042200271979319,0.00162522590820795,0.00101496040043542,0.0115848139061531,0.0380954019617504,0.000190307538814498,0.000185716462977915,3.25774425368099e-06,0.000217754596899946,0.00575215744096623,0.0178635096854917,0.00670212683076766,0.000347142273331105,0.00058580946467269,0.000233109644376965,0.00271052600190949,0.00146978872443996,0.00187198971414618,0.0234838992015863,0.00170356673993708,0.00313976222631721,0.00129723134282659,7.6489727629441e-05,0.0131275386289905,0.00331035949602445
0.25,0.00887327068692443,0.00221187937420674,0.000380666177026617,0.000612045403953588,0.00325125513921221,0.0289269095068825,0.0808814337313263,0.00675161437077635,0.0686267724338665,0.000407863001244328,0.00321789114499912,0.00104578951579021,0.000738662645402863,0.005570465174225,0.0497502974968039,0.0287469946222156,0.00348355162581223,0.000356564074755645,0.0239968268960978,0.0128410442076037,0.0119677014550113,0.015463640814184,0.000103688242295798,0.0221390173960436,0.000652420272110744,0.00176799988832115,0.00712880066225901,0.012326288217357,0.00137811664165322,0.00649847919559052,0.00480958657992335,0.0186126190556126,0.000332983051922134,0.0207824197067917,0.00255894618629834,0.0429886116457896,0.0175646315825103,0.00119616494622998,0.000129288300811023,0.000944331205357547,0.00332010160632273,0.00731695024683398,0.00469501899902519,0.0477592259163524,0.165860167790165,0.00039721972689517,0.000729141338970803,0.000189876480496457,0.00127815011611947,0.0237189263329574,0.0783094291579052,0.0236930405208485,0.00080789329810941,0.00413989436502142,0.00193864173742323,0.0118281536912574,0.00778611549310443,0.00643731475418482,0.103963635126713,0.00488913124799253,0.0147819204565397,0.00441526656043882,0.000376596056096591,0.056298113318351,0.0155161961770695
0.5,0.00885541235272134,0.00786359955582348,0.0019894313137247,0.00155469351618845,0.0100155163021463,0.0391285860291603,0.106861371760522,0.00443447230407198,0.106541885677831,0.00517480369264019,0.0123601813752721,0.00366662205300002,0.00313047146268362,0.00437869782959484,0.0735167624605037,0.0190659978514578,0.00275122675238197,6.14657177089611e-05,0.0360395307088908,0.0188374905308616,0.0238383228137337,0.0259847533246331,0.000174526496296876,0.0271182288966645,0.00459289848751056,0.00267904378690136,0.00767364340136925,0.00986391635570272,0.0062807053900389,0.00979648831401681,0.0060505581566819,0.0145031108123239,0.00163092573633951,0.0200925020167511,0.00644843870846928,0.0565703856787954,0.0255983754224068,0.00283167552787811,0.000626019682271571,0.00315380086478436,0.0140367630256557,0.0105868059560328,0.00596936351805755,0.0556752999910647,0.231446686115034,0.00186950062018197,0.00411935779021276,0.0014837778208423,0.00519940939889777,0.0272623807993685,0.107640417124504,0.0145830181844889,8.38099260330505e-05,0.0133686699031687,0.00799418396094717,0.0162183751899157,0.014281801258816,0.00342875342326495,0.153527257381071,0.00248517647951036,0.0259111845183639,0.00253514550282234,0.000470394358884844,0.0814181289230693,0.027608297887222
0.75,0.0329381659206161,0.0135306922437169,0.00200409103810047,0.00212677438688828,0.034417321002363,0.125266549239411,0.130089241089883,0.0148497365881058,0.160121747310789,0.0176175685543318,0.0209625658117401,0.00274132787199973,0.0054394712068459,0.0140812384478235,0.139341223734786,0.0124336375763343,0.00775083967036747,0.017540746487373,0.139244808977097,0.0162072175773237,0.0458780985300465,0.106041906561814,0.0159309971381502,0.115380147203528,0.0040456054359337,0.0053391875977252,0.00293939403115675,0.0132193650849383,0.01395816218337,0.00235024436797765,0.0109607804928825,0.0291411970163682,0.0116651633621011,0.0798961517397286,0.0550622043209957,0.231164930241556,0.0229621341536191,0.00170313772220211,0.00468369289567331,0.0098648013557581,0.0456529875841747,0.0138348123608366,0.0104968980976812,0.147842843246077,0.307298842074747,0.0133791037107284,0.00570186119907489,0.00824541116414915,0.0239637401158306,0.0334166854548107,0.133715979088067,0.0112447667786802,0.00488391004921977,0.0119533137685547,0.00978012983447411,0.00646197497187535,0.0516889321274341,0.0106173189943973,0.3074162092474,0.0346764983935922,0.0763255162937312,0.0267585579276645,0.00171532249912513,0.123066364892811,0.130561946838145
1,0.038416822299923,0.260932471014624,0.0806286089065097,0.798846244123128,0.0463320089459421,0.172671190294023,0.377288572402488,0.356712418707537,0.333449108043598,0.22461651822119,0.0918183620289123,0.0818830786272797,0.0562027103310155,0.790216692838121,0.276860435796154,0.424712582257857,0.166186313073144,0.277918989523352,0.00137351196959504,0.295922028362799,0.53681999544006,0.369176916899426,0.172561871999745,0.145448003777696,0.0609330135713337,0.0823120369162333,0.0758042144214056,0.00048875343473081,0.166244336291971,0.172772857145729,0.173510309453996,2.47920236089944,0.247430772516084,0.110879866195128,0.00114747046292861,0.273035127271799,0.329283542365682,0.314624786666127,0.138302109327912,0.267528525434554,0.0623674123098714,0.326539295976753,0.0588742979069738,0.304343494591625,0.847329313679891,0.211782316768273,0.0204328671020787,0.0917720923110634,0.000139762800914835,0.0285316551605776,0.235231035075152,0.0386583414059592,0.0433263453648874,0.156509478322358,0.0537934073713742,0.264473081734747,0.440737492382868,0.494435462466094,0.410722797436082,0.198147914021224,0.329467077040417,0.437457236771292,0.141002969238291,0.69692396621448,0.292033979935089
1.25,3.42800416569968,2.36095833956699,0.315079459530508,0.414145447468864,0.518000376968884,1.46993367069443,0.337383495628142,2.16673632253995,1.08851214128096,1.561993886276,6.6792865334778,1.79389332769372,2.72555998776793,0.765017441538073,0.0790314219762386,3.87960419185101,1.29700709297032,1.00734033756511,2.79351883366498,1.61526198095496,1.26457259172086,1.58908096774118,2.10129868253023,3.53510771001417,2.27156765708778,0.046222701788567,0.873818284145128,0.757179703043535,4.79737768101145,2.50445511395073,1.10948626547204,1.63706167162263,0.757747614621944,0.0883122447604293,1.434741730785,3.71957934690564,0.965217189080419,2.17571477311277,1.34212173266546,1.84519969014705,0.14445415461332,1.10820777528013,0.715639069581569,1.92226795712348,0.106556394559685,1.18549153852332,2.92902233703447,0.328131979740931,1.57354978444739,0.0810309687224665,0.0264448135662658,3.56155044955124,7.05161923995816,2.7479388835825,4.23928924335419,0.606237641665872,1.46783021615372,0.259148486208991,0.159756013415439,3.48106104334433,0.696376767586176,1.19687048130201,2.67587254282913,0.465931490364729,2.30781261375319
1.5,0.24422779545007,1.39107125225301,0.734127810592541,1.86214615389458,0.0451944699021896,1.24383319379581,1.25443928268302,0.892663080934306,1.57132678733978,2.02219140005911,0.903839458575959,0.813302754089492,2.28681977901452,0.391102230105631,0.878752488763226,2.33555068298508,0.617000666469815,0.693206503505104,0.247303758881607,0.758050946794067,0.507380220151006,0.44764019236794,0.367838310538291,0.568909658501582,1.19322467588157,0.952628700920257,0.228724330567918,0.332674310038726,2.33600160084278,0.667461204892213,1.90594311139769,1.34099435913997,1.05662384480343,0.128735432596547,0.143005796082781,0.186728561943479,0.727665670893245,0.491166311447288,0.613589322420502,1.81856055010295,0.370258294860378,1.10099741820031,0.122021299605225,0.648833848866327,1.25493356838397,1.82193641228781,1.20836247103504,1.25856274960212,0.724555692920637,1.13699212837395,0.820624918220834,0.996270609927676,0.311418109348481,1.2238140245612,1.97097711736227,1.51180781358629,1.42259379354834,0.112211508773896,1.72233989271086,1.55607236525879,0.538968491246523,1.91658830387655,0.0750449460802987,1.11974609342859,0.346536495547886
1.75,1.2761496479264,0.905566719552697,0.836709388180564,1.21802824966518,0.332706622337977,0.163093173887984,0.494729611446371,1.07406079153469,2.2915341605138,2.30599743794263,1.49724753666689,1.31481607355087,0.0550252617290101,0.524540821367669,0.847828421790465,3.30767279568603,1.08072037144892,1.07151920480262,0.523046505676397,0.462430186396245,0.641603446043707,0.802439652003857,0.438499741070015,0.0729182656743875,0.236158215618733,0.579784276618914,0.0949205624479736,0.609031607070759,0.137126388354633,0.439854806611492,0.226775945661737,0.56424045433007,0.793942594923932,1.75475773916061,0.438538388080878,0.0332004412348931,0.27298208378498,0.295530923720037,1.11343819180598,1.37700838972865,0.295542916681112,0.650967721578684,0.129406729237408,0.673720869859869,1.34342461501605,2.05359974520068,1.14091122810647,2.0407356504266,0.00407314429840261,0.323167197703709,0.565740678682137,1.58643696126276,1.74022995733134,1.60770251716956,0.119956143916336,1.1482270808557,0.0326208717226126,0.156829200565361,1.62807292248039,2.45964005190099,0.508770888326313,1.1329395385503,0.188758238708034,1.57210579854466,0.476501397328468
2,0.376106708757158,0.583239121283708,0.700513729218279,0.030107288486049,1.04386622563385,0.0402695493036103,0.412920694512502,0.325323671249147,0.0683575369679367,0.167446728988814,0.0966787861120484,2.16962599882349,0.183194401521332,1.32148327676833,0.161505822656462,0.00749406956675178,0.0685957108238894,0.396295487212872,1.6150285303303,0.321425169202732,1.03117674843572,0.566876499255027,0.83928475751855,0.515907413343983,0.134047661938065,0.772709002928312,0.0934859903843917,0.0429897960365201,0.988242402178433,2.4453031071149,0.261397799457191,0.628635728983255,0.987087720745164,1.17659082045933,1.73124830385423,0.589960113501267,0.272177150500507,0.169243025806574,0.0250908831708049,0.0988731269130296,1.15459215451619,0.172200962260684,0.610067959408105,0.0758157534784225,0.00237760455322188,0.0435282277297458,0.678397825707979,1.0205524945888,0.0430336453127434,0.44689940724124,0.0404693000377509,0.116802581355435,0.151987412334381,1.2266263707071,0.125049582168689,1.83000485481863,0.528355334759359,1.7132089079004,0.079141438790548,0.156806288397146,0.569326029397011,0.867331055435224,0.558094843403026,0.0740887405797335,1.1365083010287
2.25,0.382269559694375,0.248994569811498,0.614022052266447,0.168213085676196,0.166475611894263,0.0262729752581896,0.461267846522639,0.554668132149579,0.370842140494179,0.547441560562058,0.503332391711404,0.0454624713934145,0.381340198169718,0.322211722127533,0.539553387937174,2.67231920622667,0.423622896222329,0.120660140949435,0.0296372299852521,0.292647946194832,0.264138153440528,0.0117352856451058,0.149729982384304,0.0502683973360711,0.375836273270105,0.0488147875701049,0.00575682014366503,0.103097820616336,0.232144033263662,0.0614903684468819,0.319485084598675,1.38076733155516,0.510695922732411,0.882683425322098,0.0250178083748995,0.0344649219688265,0.131450896615849,0.222251868073296,1.08187147040234,0.301462254012119,0.580116555977705,0.0309263281636395,0.0737553555245823,0.404516549480288,0.315204431638576,0.429736307395134,1.20823319357291,0.112670896789702,0.134800555349625,0.00699658958350199,0.237977755850119,0.900825069727388,0.572935114156645,0.105810458544483,0.43351923931538,0.305698000365237,0.283721992513334,0.526825728729032,0.685258100493449,1.61223284025002,0.443593449373411,1.31459284863596,0.0574800422037039,0.371800852439438,0.0298762622365371
